word,id,property,sparql,,,
part,116,alliance,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Airline> { ?uri <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/SkyTeam> } UNION { ?uri <http://dbpedia.org/ontology/Alliance> <http://dbpedia.org/resource/SkyTeam> } },What airlines are part of the SkyTeam alliance?,,
population,217,populationTotal,SELECT ?Mexico_City WHERE { dbr:Mexico_City dbo:populationTotal ?Mexico_City },How much is the population of mexico city ?,,
,230,populationTotal,SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop },how much is the total population of  european union?,,
,234,populationTotal,SELECT ?pop WHERE { dbr:Cairo dbo:populationTotal ?pop },What is the population of Cairo?,,
population_densty_rank,288,populationDensityRank,SELECT ?rank WHERE { dbr:Germany dbp:populationDensityRank ?rank },how much is the population densty rank of germany?,,
president,398,leaderTitle,"SELECT DISTINCT ?uri WHERE { res:Eritrea dbo:leader ?uri ; dbo:leaderTitle \""President\""@en }",Who is the president of Eritrea?,,
son,315,parent,SELECT DISTINCT ?uri WHERE { ?uri dbo:parent res:Cher , dbo:parent res:Sonny_Bono },Who is the son of Sonny and Cher?,
residence,132,residence,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Prime_Minister_of_Spain> <http://dbpedia.org/property/residence> ?uri },Where is the residence of the prime minister of Spain?,,
result,341,result,SELECT DISTINCT ?result WHERE { ?uri dbo:isPartOfMilitaryConflict dbr:Wars_of_the_Roses , dbo:result ?result , dbo:date ?date } ORDER BY DESC(?date) OFFSET 0 LIMIT 1,What was the final result of the War of the Roses?
runtime,260,runtime,SELECT DISTINCT ?runtime WHERE { res:Toy_Story dbo:runtime ?runtime },Give me the runtime of Toy Story,,
speciality,176,speciality,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/UNC_Health_Care> <http://dbpedia.org/property/speciality> ?uri },What are the specialities of the UNC Health Care?,,
subsidiary,373,subsidiary,SELECT DISTINCT ?uri WHERE { res:Lufthansa dbo:subsidiary ?uri . ?uri dbo:targetAirport res:Dortmund_Airport , dbo:targetAirport res:Berlin_Tegel_Airport },Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,
successor,264,successor,SELECT DISTINCT ?uri WHERE { res:John_F._Kennedy dbo:successor ?uri },Who was the successor of John F. Kennedy?,,
total_area,278,areaTotal,SELECT ?tarea WHERE { dbr:North_Rhine-Westphalia dbo:areaTotal ?tarea },how big is the total area of North Rhine- Westphalia?,,
total_population,353,populationTotal,"SELECT ?uri WHERE { <http://dbpedia.org/resource/Melbourne,_Florida> dbo:populationTotal ?uri }","What is the total population of Melbourne, Florida?",,
time_zone,297,timeZone,SELECT DISTINCT ?uri WHERE { res:Rome dbo:timeZone ?uri },In which time zone is Rome?,,
vice_president,270,vicePresident,SELECT DISTINCT ?uri WHERE { res:John_F._Kennedy dbo:vicePresident ?uri },Who was John F. Kennedy's vice president?,,
wife,227,spouse,"ASK WHERE { res:Barack_Obama dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, \""Michelle\"") }",Is the wife of president Obama called Michelle?,,
,245,spouse,"ASK WHERE { res:Abraham_Lincoln dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, \""Mary\"") }",Was the wife of president Lincoln called Mary?,,
,254,spouse,SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:spouse ?uri },Who was the wife of U.S. president Lincoln?,,
,376,spouse,ASK WHERE { res:Barack_Obama dbo:spouse res:Michelle_Obama },Is Michelle Obama the wife of Barack Obama?,,
,405,spouse,ASK WHERE { res:Tom_Hanks dbo:spouse res:Rita_Wilson },Is Rita Wilson the wife of Tom Hanks?,,
work,236,author,SELECT ?book WHERE { { ?book dbo:author dbr:Dan_Brown . ?book dbp:releaseDate ?date } UNION { ?book dbo:author dbr:Dan_Brown . ?book dbo:publicationDate ?date} } ORDER BY DESC(xsd:date(?date)) LIMIT 1,What is the last work of Dan Brown?,,
writer,299,writer,SELECT ?writers WHERE { dbr:The_Wall dbp:writer ?writers },Who are the writers of the Wall album of Pink Floyd?,,
